"Highlight (Yellow)","Page 61","","bounded contexts, which are so important to DDD, are explicitly about hiding information—presenting a clear boundary to the wider system while hiding internal complexity that is able to change without impacting other parts of the system. This means that when we follow a DDD approach, whether we realize it or not, we are also adopting information hiding—and as we’ve seen, this is vital in helping to find stable microservice boundaries. Secondly, the focus on defining a common, ubiquitous language helps greatly when it comes to defining microservice endpoints. It neatly gives us a shared vocabulary to draw on when coming up with APIs, event formats, and the like. It also helps solve the problem of how far the standardization of APIs needs to go in terms of allowing language to change within bounded contexts—change inside a boundary impacting that boundary itself."
"Highlight (Yellow)","Page 68","","hope you can see by now, I’m not a fan of horizontally layered architecture. Layering can have its place, though. Within a microservice boundary, it can be totally sensible to delineate between different layers to make the code easier to manage. The problem occurs when this layering becomes the mechanism by which your microservice and ownership boundaries are drawn."
"Highlight (Yellow)","Page 72","","get to the point of deciding that breaking apart your existing monolithic system is the right thing to do, I strongly advise you to chip away at the monolith, extracting a bit at a time."
"Highlight (Yellow)","Page 84","","Databases can be useful in ensuring integrity of our data. Coming back to Figure 3-6, with both the Album and Ledger tables being in the same database, we could (and likely would) define a foreign key relationship between the rows in the Ledger table and the Album table. This would ensure that we’d always be able to navigate from a record in the Ledger table back to information about the album sold, as we wouldn’t be able to delete records from the Album table if they were referenced in Ledger."
"Note","Page 84","","This whole part, on DDD ee would avoid delegating to the DB layer all those domain knowledge. Data will be saved differently for that reason to be used by a domain serice or CQRS projections can solve all of this too"
"Highlight (Yellow)","Page 96","","Disadvantages The main challenge with synchronous calls is the inherent temporal coupling that occurs, a topic we explored briefly in Chapter 2"
"Highlight (Yellow)","Page 99","","With nonblocking asynchronous communication, the microservice making the initial call and the microservice (or microservices) receiving the call are decoupled temporarily."
"Highlight (Yellow)","Page 108","","occurred, nearly always something that has happened inside the world of the microservice that is emitting the event. The microservice emitting the event has no knowledge of the intent of other microservices to use the event, and indeed it may not even be aware that other microservices exist. It emits the event when required, and that is the end of its responsibilities."
"Highlight (Yellow)","Page 111","","Do be wary, though, about the world of middleware, of which the message broker is just a small part. Queues in and of themselves are perfectly sensible, useful things. However, vendors tend to want to package lots of software with them, which can lead to more and more smarts being pushed into the middleware, as evidenced by things like the enterprise service bus. Make sure you know what you’re getting: keep your middleware dumb, and keep the smarts in the endpoints."
"Highlight (Yellow)","Page 123","","There is a whole host of technology we could look at, but rather than looking broadly at a long list of options, I will highlight some of the most popular and interesting choices. Here are the options we’ll be looking at: Remote procedure calls Frameworks that allow for local method calls to be invoked on a remote process. Common options include SOAP and gRPC. REST An architectural style where you expose resources (Customer, Order, etc.) that can be accessed using a common set of verbs (GET, POST). There is a bit more to REST than this, but we’ll get to that shortly. GraphQL A relatively new protocol that allows consumers to define custom queries that can fetch information from multiple downstream microservices, filtering the results to return only what is needed. Message brokers Middleware that allows for asynchronous communication via queues or topics."
"Highlight (Yellow)","Page 133","","teams who have had issues with GraphQL queries causing significant load on the server side as a result of this capability. When we compare GraphQL with something like SQL, we see a similar issue."
"Highlight (Yellow)","Page 134","","Compared with normal REST-based HTTP APIs, caching is also more complex. With REST-based APIs, I can set one of many response headers to help client-side devices, or intermediate caches like content delivery networks (CDNs), cache responses so they don’t need to be requested again. This isn’t possible in the same way with GraphQL."
"Highlight (Yellow)","Page 134","","The advice I’ve seen on this issue seems to revolve around just associating an ID with every returned resource (and remember, a GraphQL query could contain multiple resources) and then having the client device cache the request against that ID. As far as I can tell, this makes using CDNs or caching reverse proxies incredibly difficult without additional work."
"Highlight (Yellow)","Page 134","","The last issue is something that may be entirely subjective, but I still think it’s worth raising. GraphQL makes it feel like you are just working with data,"
"Highlight (Yellow)","Page 148","","between two schemas but will pass or fail based on compatibility; this would allow you to fail a CI build if incompatible schemas are found, ensuring that your microservice won’t get deployed."
"Highlight (Yellow)","Page 153","","consumers to put their identifer in the user-agent header when making HTTP requests, or you could require that all calls go via some sort of API gateway where clients need keys to identify themselves."
"Highlight (Yellow)","Page 156","","The argument is that this makes it easy to use your service and avoids the duplication of code required to consume the service itself. The problem, of course, is that if the same people create both the server API and the client API, there is a danger that logic that should exist on the server will start leaking into the client."
"Highlight (Yellow)","Page 156","","However, according to at least one person at Netflix, over time this has led to a degree of coupling between client and server that has been problematic."
"Note","Page 156","","One person lol"
"Highlight (Yellow)","Page 163","","Being focused more on north-south traffic, the API gateway’s main concern in a microservices environment is mapping requests from external parties to internal microservices. This responsibility is akin to what you could achieve with a simple HTTP proxy, and in fact API gateways typically build more features on top of existing HTTP proxy products, and they largely function as reverse proxies. In addition, API gateways can be used to implement mechanisms like API keys for external parties, logging, rate limiting, and the like."
"Highlight (Yellow)","Page 164","","examples I’ve seen of misuse of API gateways is for call aggregation and protocol rewriting, but I’ve also seen a wider push to use API gateways for in-perimeter (east-west) calls too. In this chapter we’ve already briefly looked at the usefulness of a protocol like GraphQL to help us in a situation in which we need to make a number of calls and then aggregate and filter the results, but people are often tempted to solve this problem in API gateway layers too. It starts off innocently enough: you combine a couple of calls and return a single payload. Then you start making another downstream call as part of the same aggregated flow. Then you start wanting to add conditional logic, and before long you realize that you’ve baked core business processes into a third-party tool that is ill suited to the task. If you find yourself needing to do call aggregation and filtering, then look at the potential of GraphQL or the BFF pattern, which we’ll cover in Chapter 14. If the call aggregation you are performing is fundamentally a business process, then this is better done through an explicitly modeled saga, which we’ll cover in Chapter 6. Aside from the aggregation angle, protocol rewriting is also often pushed as something API gateways should be used for. I remember one unnamed vendor very aggressively promoting the idea that its product could “change any SOAP API into a REST API.” Firstly, REST is an entire architectural mindset that cannot simply be implemented in a proxy layer. Secondly, protocol rewriting, which is fundamentally what this is trying to do, shouldn’t be done in intermediate layers, as it’s pushing too much behavior to the wrong place."
"Highlight (Yellow)","Page 169","","HTTP-related calls. So REST, SOAP, gRPC, and the like can be managed via these products. Things get a bit more murky, though, when you start looking at communication via other protocols, like the use of message brokers such as Kafka."
"Note","Page 169","","But before he saod, of i remember well, that those call generate dependencies among micros. Why so much litersture about that then? Id say one should aspire to make a general use of message bromers instead of all this service mesb in same machine thingy"
"Highlight (Yellow)","Page 170","","OpenAPI"
"Highlight (Yellow)","Page 170","","Ambassador’s developer portal is especially interesting. Ambassador is already a popular choice as an API gateway for Kubernetes, and its Developer Portal has the ability to autodiscover available OpenAPI endpoints."
"Highlight (Yellow)","Page 181","","Distributed Transactions—Just Say No"
"Highlight (Yellow)","Page 185","","It’s really important to note that a saga allows us to recover from business failures, not technical failures. For example, if we try and take payment from the customer but the customer has insufficient funds, then this is a business failure that the saga should be expected to handle. On the other hand, if the Payment Gateway times out or throws a 500 Internal Service Error, then this is a technical failure that we need to handle separately. The saga assumes the underlying components are working properly—that the underlying system is reliable, and that we are then coordinating the work of reliable components."
"Highlight (Yellow)","Page 188","","Sometimes you can simplify your rollback operations just by tweaking how your workflow is carried out."
"Highlight (Yellow)","Page 190","","Having our business process explicitly modeled inside the Order Processor is extremely beneficial. It allows us to look at one place in our system and understand how this process is supposed to work. That can make the onboarding of new people easier and help impart a better understanding of the core parts of the system. There are a few downsides to consider, though. First, by its nature, this is a somewhat coupled approach."
"Highlight (Yellow)","Page 190","","The other issue, which is more subtle, is that logic that should otherwise be pushed into the services can start to become absorbed in the orchestrator instead. If this begins to happen, you may find that your services become anemic, with little behavior of their own, just taking orders from orchestrators like the Order Processor."
"Highlight (Yellow)","Page 193","","In the preceding architecture, no one service knows about any other microservice. They need to know only what to do when a certain event is received—we’ve"
"Highlight (Yellow)","Page 193","","One of the easiest ways of doing this is to project a view regarding the state of a saga by consuming the events being emitted. If we generate a unique ID for the saga, what is known as a correlation ID, we can put it into all of the events that are emitted as part of this saga. When one of our services reacts to an event, the correlation ID is extracted and used for any local logging processes, and it’s also passed downstream with any further calls or events that are fired. We could then have a service whose job it is to just vacuum up all these events and present a view of what state each order is in, and perhaps programmatically carry out actions to resolve issues as part of the fulfillment process if the other services couldn’t do it themselves."
"Highlight (Yellow)","Page 199","","The problem is that when you work on a feature branch, you aren’t regularly integrating your changes with everyone else. Fundamentally, you are delaying integration. And when you finally decide to integrate your changes with everyone else, you’ll have a much more complex merge. The alternative approach is to have everyone check in to the same “trunk” of source code. To keep changes from impacting other people, techniques like feature flags are used to “hide” incomplete work. This technique of everyone working off the same trunk is called trunk-based development. The discussion around this topic is nuanced, but my own take is that the benefits of frequent integration—and validation of that integration—are significant enough that trunk-based development is my preferred style of development. Moreover, the work to implement feature flags is frequently beneficial in terms of progressive delivery, a concept we’ll explore in Chapter 8."
"Highlight (Yellow)","Page 200","","(less than a day) before being merged into trunk, and less than three active branches in total, are important aspects of continuous delivery, and all contribute to higher performance. So does merging code into trunk or master on a daily basis."
"Highlight (Yellow)","Page 202","","I have on occasion seen some confusion around the terms continuous delivery and continuous deployment. As we’ve already discussed, continuous delivery is the concept whereby each check-in is treated as a release candidate, and whereby we can assess the quality of each release candidate to decide if it’s ready to be deployed. With continuous deployment on the other hand, all check-ins have to be validated using automated mechanisms (tests for example), and any software that passes these verification checks is deployed automatically, without human intervention. Continuous deployment can therefore be considered an extention of continuous delivery. Without continuous delivery, you can’t do continuous deployment. But you can do continuous delivery without doing continuous deployment. Continuous"
"Highlight (Yellow)","Page 204","","Secondly, the artifact you verify should be the artifact you deploy! If you build a microservice, test it, say “yes, it’s working,” and then build it again for deployment into production, how do you know that the software you validated is the same software you deployed?"
"Note","Page 204","","That basically strips out of all sense circle ci. At least for deployment"
"Highlight (Yellow)","Page 205","","If the same artifact is going to be used across multiple environments, any aspects of configuration that vary from environment to environment need to be kept outside the artifact itself. As a simple example, I might want to configure application logs so that everything at DEBUG level and above is logged when running the Slow Tests stage, giving me more information to diagnose why a test fails."
"Highlight (Yellow)","Page 206","","This model can work perfectly well if you buy into the idea of lockstep releases, where you don’t mind deploying multiple services at once. In general, this is absolutely a pattern to avoid,"
"Highlight (Yellow)","Page 208","","When using this pattern, there is nothing to stop a microservice from depending on other code that is managed in different repositories. A simple mechanism for doing this is to have the code you want to reuse packaged into a library that then becomes an explicit dependency of the downstream microservices."
"Highlight (Yellow)","Page 209","","I’ve spoken to multiple people who find the lack of atomic deployment with this to be a significant problem. I can certainly appreciate the complexity this brings, but I think that in most cases it points to a bigger underlying issue. If you are continually making changes across multiple microservices, then your service boundaries might not be in the right place, and it could imply too much coupling between your services. As we’ve already discussed, we’re trying to optimize our architecture, and our microservice boundaries, so that changes are more likely going to apply within a microservice boundary. Cross-cutting changes should be the exception, not the norm."
"Highlight (Yellow)","Page 211","","the ability to reuse code easily and to make changes that impact multiple different projects is often cited as the major reason for adopting this pattern."
"Note","Page 211","","Monorepo"
"Highlight (Yellow)","Page 212","","One of the benefits of a monorepo approach is that we can practice finer-grained reuse across projects. With a multirepo model, if I want to reuse someone else’s code, it will likely have to be packaged as a versioned artifact that I can then include as part of my build (such as a Nuget package, a JAR file, or an NPM). With our unit of reuse being a library, we are potentially pulling in more code than we really want. Theoretically, with a monorepo I could just depend on a single source file from another project—although this of course will cause me to have a more complex build mapping."
"Highlight (Yellow)","Page 213","","With strong ownership, some code is owned by a specific group of people. If someone from outside that group wants to make a change, they have to ask the owners to make the change for them. Weak ownership still has the concept of defined owners, but people outside the ownership group are allowed to make changes, although any of these changes must be reviewed and accepted by someone in the ownership group. This would cover a pull request being sent to the core ownership team for review, before the pull request is merged. With collective ownership, any developer can change any piece of code."
"Highlight (Yellow)","Page 213","","Some source code tools allow you to specify ownership of specific directories or even specific filepaths inside a single repository. Google initially implemented this system on top of Perforce for its own monorepo before developing its own source control system, and it’s also something that GitHub has supported since 2016. With GitHub, you create a CODEOWNERS file, which lets you map owners to directories or filepaths."
"Highlight (Yellow)","Page 214","","fact, I’d suggest it is required reading for anyone thinking, “We should use a monorepo, because Google does!” Your organization probably isn’t Google and probably doesn’t have Google-type problems, constraints, or resources."
"Highlight (Yellow)","Page 223","","the same database infrastructure can support multiple logically isolated databases. So the databases for Invoice and Order might both be served by the same underlying database engine and hardware, as shown in Figure 8-6. This can have significant benefits—it allows you to pool hardware to serve multiple microservices, it can reduce licensing costs, and it can also help reduce the work around management of the database itself."
"Highlight (Yellow)","Page 224","","teams that run on public cloud providers are much more likely to provision dedicated database infrastructure on a per-microservice basis, as shown in Figure 8-7. The costs of provisioning and managing this infrastructure are much lower. AWS’s Relational Database Service (RDS), for example, can automatically handle concerns like backups, upgrades, and multiavailability zone failover, and similar products are available from the other public cloud providers. This makes it much more cost effective to have more isolated infrastructure for your microservice, giving each microservice owner more control rather than having to rely on a shared service."
"Highlight (Yellow)","Page 226","","This means that environments closer to the developer will be tuned to provide fast feedback, which may compromise how “production-like” they are. But as environments get closer to production, we will want them to be more and more like the end production environment to ensure that we catch problems."
"Highlight (Yellow)","Page 227","","The key thing, though, is that the exact topology of your microservice will change from environment to environment. You therefore need to find ways to change the number of instances from one environment to another, along with any environment-specific configuration. You also want to build your service instances once and once only, so it follows that any environment-specific information needs to be separate from the deployed service artifact."
"Highlight (Yellow)","Page 228","","Isolated execution Run microservice instances in an isolated fashion such that they have their own computing resources, and their execution cannot impact other microservice instances running nearby. Focus on automation As the number of microservices increases, automation becomes increasingly important. Focus on choosing technology that allows for a high degree of automation, and adopt automation as a core part of your culture. Infrastructure as code Represent the configuration for your infrastructure to ease automation and promote information sharing. Store this code in source control to allow for environments to be re-created. Zero-downtime deployment Take independent deployability further and ensure that deploying a new version of a microservice can be done without any downtime to users of your service (be they humans or other microservices). Desired state management Use a platform that maintains your microservice in a defined state, launching new instances if required in the event of outages or traffic increases."
"Highlight (Yellow)","Page 231","","Can you deploy database changes without manual intervention? Embracing a culture of automation is key if you want to keep the complexities of microservice architectures in check."
"Highlight (Yellow)","Page 232","","Gilt had around 10 microservices live; by 2012, over 100; and in 2014, over 450 microservices were live—or around three microservices for every developer in Gilt. This sort of ratio of microservices to developers is not uncommon among organizations that are mature in their use of microservices,"
"Highlight (Yellow)","Page 233","","For more on this topic, I recommend Infrastructure as Code, 2nd edition, by Kief Morris."
"Highlight (Yellow)","Page 236","","Prerequisites To take advantage of desired state management, the platform needs some way to automatically launch instances of your microservice. So having a fully automated deployment for microservice instances is a clear prerequisite for desired state management."
"Highlight (Yellow)","Page 237","","With GitOps, your desired state for your infrastructure is defined in code and stored in source control."
"Highlight (Yellow)","Page 244","","you should view containers as a great way of isolating execution of trusted software. If you are running code written by others and are concerned about a malicious party trying to bypass container-level isolation, then you’ll want to do some deeper examination yourself regarding the current state of the art for handling such situations—some"
"Highlight (Yellow)","Page 246","","Docker images can (and should) be identical to the container image that I will eventually run in production."
"Highlight (Yellow)","Page 248","","Fundamentally, the lack of isolation this model provides is one of the main reasons why this model is increasingly rare for people adopting microservice architectures."
"Highlight (Yellow)","Page 249","","When PaaS solutions work well, they work very well indeed. However, when they don’t quite work for you, you often don’t have much control in terms of getting under the hood to fix things."
"Highlight (Yellow)","Page 249","","Serverless is actually an umbrella term for a host of different technologies where, from the point of view of the person using them, the underlying computers don’t matter."
"Highlight (Yellow)","Page 250","","FaaS a great option for situations in which you have low or unpredictable load."
"Highlight (Yellow)","Page 250","","Under the hood, all the FaaS implementations I’m aware of make use of some sort of container technology."
"Highlight (Yellow)","Page 250","","This means, though, that you lack a degree of control over what exactly can be run; as a result you need the FaaS provider to support your language of choice."
"Highlight (Yellow)","Page 250","","This lack of control over the underlying runtime also extends to the lack of control over the resources given to each function invocation."
"Highlight (Yellow)","Page 250","","you can only control the memory given to each function. This in turn seems to imply that a certain amount of CPU and I/O is given to your function runtime, but you can’t control those aspects directly."
"Highlight (Yellow)","Page 251","","function invocations can provide limits in terms of how long they can run for. Google Cloud functions, for example, are currently capped at 9 minutes of execution,"
"Highlight (Yellow)","Page 251","","Finally, most function invocations are considered to be stateless. Conceptually, this means that a function cannot access state left by a previous function invocation unless that state is stored elsewhere (for example, in a database)."
"Highlight (Yellow)","Page 252","","Due to its lightweight nature and the strong sandboxing concepts built in to its core specification, Wasm has the potential to challenge the use of containers as the go-to deployment format for server-side applications."
"Highlight (Yellow)","Page 252","","Firstly, it’s important to address a concern that is often raised with FaaS, and that is the notion of spin-up time."
"Highlight (Yellow)","Page 252","","reality, though, these runtimes rarely cold start. On AWS at least, the runtimes are kept “warm,” so that requests that come in are served by already launched and running instances. This happens to such an extent that it can be difficult to gauge the impact of a “cold start” nowadays due to the optimizations being done under the hood by the FaaS providers."
"Highlight (Yellow)","Page 252","","Finally, the dynamic scaling aspect of functions can actually end up being an issue. Functions are launched when triggered. All the platforms I’ve used have a hard limit on the maximum number of concurrent function invocations, which is something you might have to take careful note of. I’ve spoken to more than one team that has had the issue of functions scaling up and overwhelming other parts of its infrastructure that didn’t have the same scaling properties."
"Highlight (Yellow)","Page 253","","Function per aggregate So how would we break up a microservice instance into smaller functions? If you’re making use of domain-driven design, you may already have explicitly modeled your aggregates (a collection of objects that are managed as a single entity, typically referring to real-world concepts). If your microservice instance handles multiple aggregates, one model that makes sense to me is to break out a function for each aggregate, as shown in Figure 8-19. This ensures that all the logic for a single aggregate is self-contained inside the function, making it easier to ensure a consistent implementation of the life-cycle management of the aggregate."
"Highlight (Yellow)","Page 254","","A few caveats here. Firstly, I would strongly urge you to maintain a coarser-grained external interface. To upstream consumers, they are still talking to the Expenses service—they are unaware that requests get mapped to smaller-scoped aggregates."
"Highlight (Yellow)","Page 255","","This mapping from a single microservice to multiple finer-grained deployable units warps our previous definition of a microservice somewhat. We normally consider a microservice as being an independently deployable unit—now one microservice is made up of multiple different independently deployable units. Conceptually, in this example, the microservice moves toward being more of a logical than a physical concept."
"Highlight (Yellow)","Page 257","","So let’s review a set of rules I like to call Sam’s Really Basic Rules of Thumb for Working Out Where to Deploy Stuff: If it ain’t broke, don’t fix it.4 Give up as much control as you feel happy with, and then give away just a little bit more. If you can offload all your work to a good PaaS like Heroku (or a FaaS platform), then do it and be happy. Do you really need to tinker with every last setting? Containerizing your microservices it is not pain-free, but is a really good compromise around cost of isolation and has some fantastic benefits for local development, while still giving you a degree of control over what happens. Expect Kubernetes in your future."
"Highlight (Yellow)","Page 265","","The Cloud Native Computing Foundation (CNCF for short) is an offshoot of the nonprofit Linux Foundation. The CNCF focuses on curating the ecosystem of projects to help promote cloud native development, although in practice this means supporting Kubernetes and projects that work with or build on Kubernetes itself."
"Highlight (Yellow)","Page 269","","book Accelerate,6 Nicole Forsgren, Jez Humble, and Gene Kim"
"Highlight (Yellow)","Page 270","","Deployment is what happens when you install some version of your software into a particular environment (the production environment is often implied). Release is when you make a system or some part of it (for example, a feature) available to users."
"Highlight (Yellow)","Page 270","","continuous delivery with fine-grained control over the blast radius”"
"Highlight (Yellow)","Page 270","","progressive delivery can empower the product owner"
"Highlight (Yellow)","Page 270","","implying a somewhat technically savvy product owner,"
"Highlight (Yellow)","Page 271","","a much deeper dive into the world of feature toggles, I can heartily recommend Pete Hodgson’s writeup “Feature Toggles (aka Feature Flags)”"
"Highlight (Yellow)","Page 271","","If the feature works for that canary group, then it can be rolled out to more of your customers until everyone sees the new version. For a microservice architecture, a toggle could be configured at an individual microservice level, turning functionality on (or off) for requests to that functionality from the outside world or other microservices."
"Highlight (Yellow)","Page 272","","Another technique is to have two different versions of a microservice running side by side, and use the toggle to route to either the old or the new version. Here, the canary implementation has to be somewhere in the routing/networking path, rather than being in one microservice. When"
"Highlight (Yellow)","Page 273","","book Monolith to Microservices."
"Highlight (Yellow)","Page 273","","With blue-green deployment, feature toggles, canary releases, and parallel runs we’ve just scratched the surface of the field of progressive delivery. These ideas can work well together (we’ve already touched on how you could use feature toggles to implement a canary rollout for example), but you probably want to ease yourself in. To start off, just remember to separate the two concepts of deployment and release. Next, start looking for ways to help you deploy your software more frequently, but in a safe manner."
"Highlight (Yellow)","Page 278","","Succeeding with Agile,2 Mike Cohn"
"Highlight (Yellow)","Page 279","","Virtually every team I’ve worked on has used different names for tests than the ones that Cohn uses in the pyramid."
"Highlight (Yellow)","Page 279","","Unit tests typically test a single function or method call. The tests generated as a side effect of test-driven design (TDD) will fall into this category, as do the sorts of tests generated by techniques such as property-based testing."
"Highlight (Yellow)","Page 280","","Service tests are designed to bypass the user interface and test our microservices directly. In a monolithic application, we might just be testing a collection of classes that provide a service to the UI."
"Highlight (Yellow)","Page 280","","The cause of the test failure should be limited to just the microservice under test. To achieve this isolation, we need to stub out all external collaborators so only the microservice itself is in scope,"
"Highlight (Yellow)","Page 282","","Finding that your test suite is taking too long to run? When broader-scoped tests like our service or end-to-end tests fail, write a smaller-scoped unit test to pick up that breakage sooner."
"Highlight (Yellow)","Page 283","","create a stub microservice that responds with canned responses to known requests from the microservice under test."
"Highlight (Yellow)","Page 284","","Growing Object-Oriented Software, Guided by Tests by Steve Freeman and Nat Pryce."
"Highlight (Yellow)","Page 286","","We can deal with both of these problems elegantly by having multiple pipelines “fan-in” to a single end-to-end test stage."
"Highlight (Yellow)","Page 287","","When we detect flaky tests, it is essential that we do our best to remove them. Otherwise, we start to lose faith in a test suite that “always fails like that.”"
"Highlight (Yellow)","Page 287","","start to assume that failing tests are OK. In “Eradicating Non-Determinism in Tests,”6 Martin Fowler advocates the approach that if you have flaky tests, you should track them down and—if you can’t immediately fix them—remove them from the suite so you can treat them."
"Highlight (Yellow)","Page 289","","Sometimes organizations react by having a dedicated team write these tests. This can be disastrous."
"Note","Page 289","","Zinio..."
"Highlight (Yellow)","Page 289","","Ultimately, I am convinced that at a certain level of organizational scale, you need to move away from cross-team end-to-end tests for this reason."
"Highlight (Yellow)","Page 291","","your teams work independently, it follows that they should be able to test independently."
"Highlight (Yellow)","Page 292","","With a shared end-to-end test suite, you undermine your goal of independent deployability."
"Highlight (Yellow)","Page 293","","Arguably, consumer-driven contracts are as much about fostering clear lines of communication and collaboration, where needed, between microservices and the teams that consume them. It could be argued, in fact, that implementing CDCs is just making more explicit the communication between the teams that must already exist. In cross-team collaboration, CDCs are an explicit reminder of Conway’s law. CDCs"
"Highlight (Yellow)","Page 295","","Alternatively, if you are creating an API for thousands of potential consumers, such as with a publicly available web service API, you may have to play the role of the consumer yourself (or perhaps work with a subset of your consumers) in defining these tests. Breaking huge numbers of external consumers is a pretty bad idea, so if anything the importance of CDCs is increased!"
"Highlight (Yellow)","Page 295","","From speaking to people who have been implementing microservices at scale for a while now, I have learned that most of them over time remove the need entirely for end-to-end tests in favor of other mechanisms"
"Highlight (Yellow)","Page 297","","Fundamentally, I do think that the use of cloud environments to allow a developer to run more microservices for their development and test cycles is missing the point, resulting in more complexity than is needed, in addition to higher costs."
"Highlight (Yellow)","Page 299","","When it comes to in-production testing, tests carried out on software that is deployed into production, before it is released, should be safe."
"Highlight (Yellow)","Page 301","","considerations about CFRs come far too late. I strongly suggest looking at your CFRs as early as possible and reviewing them regularly."
"Highlight (Yellow)","Page 301","","You may decide that you want performance tests that isolate individual services, but start with tests that check core journeys in your system. You may be able to take end-to-end journey tests and simply run these at volume."
"Highlight (Yellow)","Page 301","","The longer you go without running performance tests, the harder it can be to track down the culprit. Performance problems are especially difficult to resolve, so if you can reduce the number of commits you need to look at to see a newly introduced problem, your life will be much easier."
"Highlight (Yellow)","Page 304","","Optimize for fast feedback, and separate types of tests accordingly. Avoid the need for end-to-end tests that span more than one team—consider using consumer-driven contracts instead. Use consumer-driven contracts to provide focus points for conversations between teams. Try to understand the trade-off between putting more effort into testing and detecting issues faster in production (optimizing for MTBF versus optimizing for MTTR). Give testing in production a try!"
"Highlight (Yellow)","Page 304","","Agile Testing by Lisa Crispin and Janet Gregory (Addison-Wesley),"
"Highlight (Yellow)","Page 306","","Firstly, we need to monitor the small things and provide aggregation to allow us to see the bigger picture. Then, we need to make sure we have tools available to us to slice and dice this data as part of our investigation. Finally, we need to get smarter about how we think about system health, by embracing concepts like testing in production."
"Highlight (Yellow)","Page 310","","New Relic even coined the term MELT (metrics, event, logs, and traces), which hasn’t really caught on, but at least New Relic is trying."
"Highlight (Yellow)","Page 310","","Focusing too much on specific implementation details runs the risk of focusing on activity versus outcome. It’s analogous to the current world of IT, where hundreds if not thousands of organizations have fallen in love with building microservice-based systems without really understanding what they are trying to achieve!"
"Note","Page 310","","Brilliant Quote"
